months,value
11.1 ,67.47 
11.1 ,67.48 
11.2 ,67.48 
11.2 ,67.44 
11.2 ,67.37 
11.3 ,67.08 
11.3 ,66.17 
11.3 ,66.10 
11.4 ,66.10 
11.4 ,66.12 
11.4 ,67.23 
11.5 ,66.36 
11.5 ,65.22 
11.5 ,65.84 
11.6 ,66.09 
11.6 ,66.10 
11.6 ,66.22 
11.7 ,66.14 
11.7 ,63.26 
11.7 ,63.19 
11.8 ,63.45 
11.8 ,63.45 
11.8 ,63.44 
11.9 ,63.47 
11.9 ,63.18 
11.9 ,63.73 
12.0 ,63.36 
12.0 ,64.02 
12.0 ,64.34 
12.1 ,64.37 
12.1 ,64.37 
12.1 ,64.04 
12.2 ,63.66 
12.2 ,64.67 
12.2 ,64.08 
12.3 ,64.37 
12.3 ,64.42 
12.3 ,64.36 
12.4 ,64.56 
12.4 ,64.73 
12.4 ,64.72 
12.5 ,64.08 
12.5 ,65.33 
12.5 ,65.33 
12.6 ,65.19 
12.6 ,65.53 
12.6 ,65.60 
12.6 ,65.81 
12.7 ,66.25 
12.7 ,67.17 
12.7 ,67.22 
12.8 ,67.32 
12.8 ,65.93 
12.8 ,65.75 
12.9 ,65.27 
12.9 ,65.29 
12.9 ,64.47 
13.0 ,64.50 
13.0 ,64.43 
13.0 ,63.56 
13.1 ,63.97 
13.1 ,63.97 
13.1 ,63.45 
13.2 ,63.31 
13.2 ,63.33 
13.2 ,63.23 
13.3 ,62.37 
13.3 ,62.41 
13.3 ,62.24 
13.4 ,62.54 
13.4 ,62.61 
13.4 ,62.63 
13.5 ,62.62 
13.5 ,62.28 
13.5 ,60.50 
13.6 ,60.25 
13.6 ,62.03 
13.6 ,62.09 
13.7 ,62.08 
13.7 ,62.04 
13.7 ,62.58 
13.8 ,62.04 
13.8 ,61.29 
13.8 ,61.91 
13.9 ,62.93 
13.9 ,62.91 
13.9 ,62.85 
14.0 ,62.19 
14.0 ,62.82 
14.0 ,62.67 
14.1 ,62.99 
14.1 ,63.37 
14.1 ,63.36 
14.2 ,63.41 
14.2 ,61.45 
14.2 ,61.89 
14.3 ,62.36 
14.3 ,61.44 
14.3 ,60.90 
14.4 ,60.97 
14.4 ,60.87 
14.4 ,60.95 
14.5 ,61.48 
14.5 ,61.33 
14.5 ,60.45 
14.6 ,60.07 
14.6 ,60.06 
14.6 ,60.15 
14.7 ,58.97 
14.7 ,57.31 
14.7 ,56.50 
14.8 ,56.51 
14.8 ,57.34 
14.8 ,57.29 
14.9 ,57.28 
14.9 ,56.47 
14.9 ,56.78 
14.9 ,56.80 
15.0 ,55.88 
15.0 ,57.95 
15.0 ,57.92 
15.1 ,58.02 
15.1 ,56.70 
15.1 ,56.96 
15.2 ,57.70 
15.2 ,58.77 
15.2 ,58.99 
15.3 ,58.91 
15.3 ,58.74 
15.3 ,58.03 
15.4 ,57.21 
15.4 ,56.93 
15.4 ,56.83 
15.5 ,56.13 
15.5 ,56.17 
15.5 ,56.23 
15.6 ,55.90 
15.6 ,56.79 
15.6 ,57.55 
15.7 ,57.74 
15.7 ,57.56 
15.7 ,57.52 
15.8 ,57.59 
15.8 ,57.93 
15.8 ,58.31 
15.9 ,59.40 
15.9 ,59.80 
15.9 ,58.82 
16.0 ,58.86 
16.0 ,58.59 
16.0 ,58.46 
16.1 ,57.52 
16.1 ,56.99 
16.1 ,57.71 
16.2 ,57.76 
16.2 ,57.64 
16.2 ,57.65 
16.3 ,56.34 
16.3 ,56.45 
16.3 ,57.82 
16.4 ,58.55 
16.4 ,60.48 
16.4 ,60.46 
16.5 ,60.55 
16.5 ,60.52 
16.5 ,60.63 
16.6 ,60.14 
16.6 ,59.93 
16.6 ,60.59 
16.7 ,60.59 
16.7 ,60.46 
16.7 ,60.83 
16.8 ,59.45 
16.8 ,58.73 
16.8 ,59.26 
16.9 ,59.74 
16.9 ,59.74 
16.9 ,59.63 
17.0 ,59.37 
17.0 ,59.73 
17.0 ,59.58 
17.1 ,59.88 
17.1 ,60.36 
17.1 ,60.42 
17.1 ,60.22 
17.2 ,60.12 
17.2 ,60.49 
17.2 ,60.64 
17.3 ,61.09 
17.3 ,60.68 
17.3 ,60.61 
17.4 ,60.68 
17.4 ,61.68 
17.4 ,62.82 
17.5 ,62.88 
17.5 ,62.81 
17.5 ,63.60 
17.6 ,63.58 
17.6 ,63.59 
